tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E1864N0619,EPSG:32617,-83.46005191146189,35.70291624404218,277430.7821201011,3953787.7671151687,9546240.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,2017-10-05,2.6143790849673203
NA5120_E1865N0618,EPSG:32617,-83.4142035569276,35.64947067472268,281433.84290383186,3947755.4452260872,9551360.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,2017-10-05,0.0
NA5120_E1865N0619,EPSG:32617,-83.40505712079832,35.69469521325186,282384.94396728894,3952752.345971402,9551360.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,2017-10-05,0.0
NA5120_E1866N0619,EPSG:32617,-83.35007503903341,35.68644270282966,287338.8359349554,3951716.2785308156,9556480.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,2017-10-05,0.030525030525030524
NA5120_E1867N0619,EPSG:32617,-83.29510570844779,35.67815872770775,292292.46082936187,3950679.5636287825,9561600.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_GRSM_3,2017-10-05,8.247743541861189
NA5120_E2014N0810,EPSG:32618,-72.26147202832067,42.43356818610988,725260.1085451264,4701550.387121961,10314240.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,7.871554418868996
NA5120_E2014N0811,EPSG:32618,-72.24217178432893,42.47655951365485,726692.5434356346,4706375.965894271,10314240.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,0.0
NA5120_E2014N0812,EPSG:32618,-72.2228351637432,42.51954480000945,728125.6852333196,4711201.374977781,10314240.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,0.0
NA5120_E2014N0813,EPSG:32618,-72.20346207473575,42.56252402970656,729559.5331952453,4716026.614785149,10314240.0,4165120.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,7.502131287297528
NA5120_E2015N0810,EPSG:32618,-72.20280177762291,42.41852347113441,730141.4982606214,4700037.122272774,10319360.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,0.0
NA5120_E2015N0811,EPSG:32618,-72.18346602144412,42.46150088778802,731574.0295891216,4704862.362274187,10319360.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,0.0
NA5120_E2015N0812,EPSG:32618,-72.16409384363574,42.50447224037963,733007.2672856918,4709687.433611651,10319360.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,0.0
NA5120_E2015N0813,EPSG:32618,-72.14468515234222,42.547437513389426,734441.210608064,4714512.3366984045,10319360.0,4165120.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_HARV_4,2017-08-13,8.655462184873949
NA5120_E1860N0519,EPSG:32616,-84.50469582267925,31.201227422216203,737750.243509446,3454586.3951119063,9525760.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,6.794871794871795
NA5120_E1860N0520,EPSG:32616,-84.49713131854219,31.246647682934473,738357.0810065159,3459638.8151043216,9525760.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,0.0
