s2_id,longitude,latitude,time,cs_cdf,base_date,days_diff,neon_id,utm_x,utm_y,crs,id,exists_boa
20220620T165901_20220620T171040_T16TCS,-89.43483238248497,46.15472064583372,2022-06-20,0.9058823529411764,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,310280.63606213254,5115384.748037769,EPSG:32616,NEON_S2__0254,True
20230418T155821_20230418T160614_T17RMM,-81.43192117932098,28.079179824894357,2023-04-18,0.9019607843137256,2023-04-18,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DSNY_7,455604.7785351576,3108183.125341052,EPSG:32617,NEON_S2__0276,True
20230418T155821_20230418T160614_T17RMM,-81.38592743677405,28.079179824894357,2023-04-18,0.9098039215686274,2023-04-18,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DSNY_7,460489.37252418697,3107165.0156241707,EPSG:32617,NEON_S2__0278,True
20230418T155821_20230418T160614_T17RMM,-81.38592743677405,28.125173567441276,2023-04-18,0.9019607843137256,2023-04-18,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DSNY_7,461357.5811396176,3112154.3243151903,EPSG:32617,NEON_S2__0279,True
20230813T214539_20230813T214533_T05VPL,-149.13471020838648,63.862311526397725,2023-08-13,0.9176470588235294,2023-08-13,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5,394172.1868049224,7081057.040619653,EPSG:32606,NEON_S2__0280,True
20230813T214539_20230813T214533_T05VPL,-149.13471020838648,63.862311526397725,2023-08-13,0.9176470588235294,2023-08-13,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5,394172.1868049224,7081057.040619653,EPSG:32606,NEON_S2__0282,True
20230813T214539_20230813T214533_T05VPL,-149.13471020838648,63.862311526397725,2023-08-13,0.9176470588235294,2023-08-13,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5,394172.1868049224,7081057.040619653,EPSG:32606,NEON_S2__0284,True
20230813T214539_20230813T214533_T05VPL,-149.13471020838648,63.862311526397725,2023-08-13,0.9176470588235294,2023-08-13,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5,394172.1868049224,7081057.040619653,EPSG:32606,NEON_S2__0286,True
20230602T155819_20230602T160940_T17SNB,-80.55804007092951,37.369915819372096,2023-06-02,0.9058823529411764,2023-06-02,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MLBS_6,540139.0632271835,4136492.085378991,EPSG:32617,NEON_S2__0298,True
20230602T155819_20230602T160940_T17SNB,-80.55804007092951,37.415909561919015,2023-06-02,0.9098039215686274,2023-06-02,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MLBS_6,541130.4166826316,4141465.1483827857,EPSG:32617,NEON_S2__0299,True
20230602T155819_20230602T160940_T17SNB,-80.51204632838258,37.369915819372096,2023-06-02,0.9058823529411764,2023-06-02,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MLBS_6,545096.2074551338,4135410.2987861945,EPSG:32617,NEON_S2__0300,True
20230423T155819_20230423T160343_T17RLN,-82.02983983243092,29.64296707148962,2023-04-23,0.9098039215686274,2023-04-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,399529.6633595402,3280199.4680116526,EPSG:32617,NEON_S2__0310,True
20230423T155819_20230423T160343_T17RLN,-82.02983983243092,29.688960814036538,2023-04-23,0.9019607843137256,2023-04-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,400411.7693653469,3285192.7822099244,EPSG:32617,NEON_S2__0311,True
20230423T155819_20230423T160343_T17RLN,-81.98384608988401,29.64296707148962,2023-04-23,0.9098039215686274,2023-04-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,404431.2340163172,3279183.7949529234,EPSG:32617,NEON_S2__0312,True
20230423T155819_20230423T160343_T17RLN,-81.98384608988401,29.688960814036538,2023-04-23,0.9019607843137256,2023-04-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,405313.7363951855,3284176.6522160387,EPSG:32617,NEON_S2__0313,True
20230423T155819_20230423T160343_T17RLN,-81.98384608988401,29.64296707148962,2023-04-23,0.9098039215686274,2023-04-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,404431.2340163172,3279183.7949529234,EPSG:32617,NEON_S2__0315,True
20230423T155819_20230423T160343_T17RLN,-81.98384608988401,29.688960814036538,2023-04-23,0.9019607843137256,2023-04-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,405313.7363951855,3284176.6522160387,EPSG:32617,NEON_S2__0316,True
20230401T183929_20230401T184336_T10SGG,-119.74470872090492,37.093953364090574,2023-04-01,0.9215686274509804,2023-04-01,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6,256313.93843769428,4107087.735670382,EPSG:32611,NEON_S2__0324,True
20230401T183929_20230401T184336_T10SGG,-119.74470872090492,37.13994710663749,2023-04-01,0.9215686274509804,2023-04-01,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6,255133.685255449,4111988.392538028,EPSG:32611,NEON_S2__0325,True
20230401T183929_20230401T184336_T10SGG,-119.74470872090492,37.093953364090574,2023-04-01,0.9215686274509804,2023-04-01,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6,256313.93843769428,4107087.735670382,EPSG:32611,NEON_S2__0326,True
20230401T183929_20230401T184336_T10SGG,-119.74470872090492,37.13994710663749,2023-04-01,0.9215686274509804,2023-04-01,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6,255133.685255449,4111988.392538028,EPSG:32611,NEON_S2__0327,True
20240814T153941_20240814T154651_T18TYN,-72.23317266993708,42.52121498462708,2024-08-14,0.9019607843137256,2024-08-14,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HARV_8,728125.6852333196,4711201.374977781,EPSG:32618,NEON_S2__0365,True
20240814T153941_20240814T154651_T18TYN,-72.18717892739015,42.42922749953324,2024-08-14,0.9058823529411764,2024-08-14,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HARV_8,730141.4982606214,4700037.122272774,EPSG:32618,NEON_S2__0367,True
20240612T170901_20240612T171745_T14SQJ,-96.47187499216363,38.93370306596736,2024-06-12,0.9098039215686274,2024-06-12,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_MCDI_4,717759.3250565998,4314122.804297642,EPSG:32614,NEON_S2__0377,True
