tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date
NA5120_E1864N0618,EPSG:32617,-83.4691648744921,35.65768465693955,276479.926002797,3948790.40319033,9546240.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1864N0619,EPSG:32617,-83.46005191146189,35.70291624404218,277430.7821201011,3953787.7671151687,9546240.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1864N0620,EPSG:32617,-83.45092272902964,35.74814598953059,278382.3033401064,3958784.975597694,9546240.0,3176960.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1865N0616,EPSG:32617,-83.43244775967685,35.559016054992306,279533.6357235757,3937761.179051849,9551360.0,3156480.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1865N0617,EPSG:32617,-83.42333375708625,35.604244287329465,280483.4066304511,3942758.389626135,9551360.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1865N0618,EPSG:32617,-83.4142035569276,35.64947067472268,281433.84290383186,3947755.4452260872,9551360.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1865N0619,EPSG:32617,-83.40505712079832,35.69469521325186,282384.94396728894,3952752.345971402,9551360.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1865N0620,EPSG:32617,-83.39589441017011,35.739917898985574,283336.70924408,3957749.0919823237,9551360.0,3176960.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1866N0616,EPSG:32617,-83.37756583272636,35.55078473153082,284486.7874760521,3936726.497675195,9556480.0,3156480.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1866N0617,EPSG:32617,-83.36841849999935,35.59600591271789,285436.80601038836,3941723.2455215557,9556480.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1866N0618,EPSG:32617,-83.35925491494011,35.641225237799866,286387.4890220162,3946719.8390999464,9556480.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1866N0619,EPSG:32617,-83.35007503903341,35.68644270282966,287338.8359349554,3951716.2785308156,9556480.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1866N0620,EPSG:32617,-83.34087883363799,35.731658303848725,288290.84617291915,3956712.563935164,9556480.0,3176960.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E2013N0810,EPSG:32618,-72.3201715203079,42.44858022681709,720378.7487929547,4703063.279150254,10309120.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2013N0811,EPSG:32618,-72.30090686736065,42.491585443613374,721811.0886155572,4707889.198225751,10309120.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2013N0812,EPSG:32618,-72.28160588311017,42.534584642079665,723244.1358851868,4712714.946587281,10309120.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2013N0813,EPSG:32618,-72.26226847575742,42.577577806801486,724677.8898582503,4717540.524646917,10309120.0,4165120.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2014N0809,EPSG:32618,-72.28073598724785,42.390570832789145,723828.3813045719,4696724.638248988,10314240.0,4144640.0,18TYM,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2014N0810,EPSG:32618,-72.26147202832067,42.43356818610988,725260.1085451264,4701550.387121961,10314240.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2014N0811,EPSG:32618,-72.24217178432893,42.47655951365485,726692.5434356346,4706375.965894271,10314240.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2014N0812,EPSG:32618,-72.2228351637432,42.51954480000945,728125.6852333196,4711201.374977781,10314240.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2014N0813,EPSG:32618,-72.20346207473575,42.56252402970656,729559.5331952453,4716026.614785149,10314240.0,4165120.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2015N0809,EPSG:32618,-72.2221012037295,42.375540005885824,728709.6740423213,4695211.713194958,10319360.0,4144640.0,18TYM,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2015N0810,EPSG:32618,-72.20280177762291,42.41852347113441,730141.4982606214,4700037.122272774,10319360.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2015N0811,EPSG:32618,-72.18346602144412,42.46150088778802,731574.0295891216,4704862.362274187,10319360.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2015N0812,EPSG:32618,-72.16409384363574,42.50447224037963,733007.2672856918,4709687.433611651,10319360.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2015N0813,EPSG:32618,-72.14468515234222,42.547437513389426,734441.210608064,4714512.3366984045,10319360.0,4165120.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2016N0810,EPSG:32618,-72.14416080254163,42.40344611382162,735022.9205047544,4698523.48282171,10324480.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
