ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel,x,y,crs,sentinel2_id,neon_id
2022_ABBY_5,20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,553000.0008358404,5067499.999758453,32610,COPERNICUS/S2_HARMONIZED/20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ABBY_5
2022_ARIK_4,20220707T173909_20220707T174820_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,713999.9954418399,4395524.654612852,32613,COPERNICUS/S2_HARMONIZED/20220707T173909_20220707T174820_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ARIK_4
2022_ARIK_4,20220707T173909_20220707T174820_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,713999.9998072333,4402500.002880952,32613,COPERNICUS/S2_HARMONIZED/20220707T173909_20220707T174820_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ARIK_4
2022_ARIK_4,20220707T173909_20220707T174820_T14SKJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718876.9349724039,4394265.474652847,32613,COPERNICUS/S2_HARMONIZED/20220707T173909_20220707T174820_T14SKJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ARIK_4
2022_ARIK_4,20220707T173909_20220707T174820_T14TKK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718524.188101603,4402831.173237673,32613,COPERNICUS/S2_HARMONIZED/20220707T173909_20220707T174820_T14TKK,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ARIK_4
2022_CHEQ_7,20220617T164851_20220617T164900_T15TYL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,726500.0004295768,5077000.000409429,32615,COPERNICUS/S2_HARMONIZED/20220617T164851_20220617T164900_T15TYL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_CHEQ_7
2022_GRSM_7,20220923T161001_20220923T161444_T16SGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,262766.2363618007,3948391.046970905,32617,COPERNICUS/S2_HARMONIZED/20220923T161001_20220923T161444_T16SGE,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7
2022_GRSM_7,20220923T161001_20220923T161444_T17SKV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,274499.9988746394,3948000.000239101,32617,COPERNICUS/S2_HARMONIZED/20220923T161001_20220923T161444_T17SKV,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7
2022_GUIL_2,20221024T150719_20221024T150719_T19QGA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,734000.0028922816,2009500.0016991696,32619,COPERNICUS/S2_HARMONIZED/20221024T150719_20221024T150719_T19QGA,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GUIL_2
2022_JORN_5,20220903T174921_20220903T175451_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,325999.99946390616,3613000.000518506,32613,COPERNICUS/S2_HARMONIZED/20220903T174921_20220903T175451_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_JORN_5
2022_KONZ_7,20220613T170901_20220613T172041_T14SPJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,705895.192918659,4335499.479460668,32614,COPERNICUS/S2_HARMONIZED/20220613T170901_20220613T172041_T14SPJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_KONZ_7
2022_KONZ_7,20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,710000.0004893347,4335500.001707495,32614,COPERNICUS/S2_HARMONIZED/20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_KONZ_7
2022_MCDI_3,20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718500.0001998106,4314500.001267903,32614,COPERNICUS/S2_HARMONIZED/20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MCDI_3
2022_MLBS_5,20220920T155941_20220920T161148_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,541000.0006267437,4137500.001373957,32617,COPERNICUS/S2_HARMONIZED/20220920T155941_20220920T161148_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MLBS_5
2022_MOAB_6,20220429T175921_20220429T180752_T12SXH,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,641500.0010208006,4234000.000099552,32612,COPERNICUS/S2_HARMONIZED/20220429T175921_20220429T180752_T12SXH,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MOAB_6
2022_ONAQ_4,20220505T181921_20220505T182340_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,372999.9987377218,4449999.999902138,32612,COPERNICUS/S2_HARMONIZED/20220505T181921_20220505T182340_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ONAQ_4
2022_REDB_4,20220505T181921_20220505T182340_T12TVL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,434500.0011328541,4516999.999536767,32612,COPERNICUS/S2_HARMONIZED/20220505T181921_20220505T182340_T12TVL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_REDB_4
2022_STER_4,20220717T173909_20220717T174744_T13TFE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,666000.0016098047,4482500.000737344,32613,COPERNICUS/S2_HARMONIZED/20220717T173909_20220717T174744_T13TFE,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STER_4
2022_TOOL_4,20220803T214541_20220803T214540_T05WPS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,402000.000848719,7614499.998950599,32606,COPERNICUS/S2_HARMONIZED/20220803T214541_20220803T214540_T05WPS,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_TOOL_4
2022_TOOL_4,20220803T214541_20220803T214540_T06WVB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,406974.8412049557,7614500.00706054,32606,COPERNICUS/S2_HARMONIZED/20220803T214541_20220803T214540_T06WVB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_TOOL_4
2022_UKFS_6,20220608T170849_20220608T171949_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,309999.9998270118,4322000.000272201,32615,COPERNICUS/S2_HARMONIZED/20220608T170849_20220608T171949_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UKFS_6
2022_UNDE_5,20220620T165901_20220620T171040_T15TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,306499.9987155942,5120000.001310234,32616,COPERNICUS/S2_HARMONIZED/20220620T165901_20220620T171040_T15TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5
2022_UNDE_5,20220620T165901_20220620T171040_T16TCS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,306499.9987155942,5120000.001310234,32616,COPERNICUS/S2_HARMONIZED/20220620T165901_20220620T171040_T16TCS,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5
2022_WREF_5,20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,582499.9988640277,5075999.999766018,32610,COPERNICUS/S2_HARMONIZED/20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_WREF_5
2022_YELL_4,20220621T180931_20220621T181040_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,538000.0017537111,4975000.001377378,32612,COPERNICUS/S2_HARMONIZED/20220621T180931_20220621T181040_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_YELL_4
2023_ARIK_5,20230813T172901_20230813T174104_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,712500.063593076,4396024.596912476,32613,COPERNICUS/S2_HARMONIZED/20230813T172901_20230813T174104_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ARIK_5
2023_ARIK_5,20230813T172901_20230813T174104_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,712499.9995135082,4401499.9985420015,32613,COPERNICUS/S2_HARMONIZED/20230813T172901_20230813T174104_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ARIK_5
2023_DEJU_5,20230720T211521_20230720T211515_T06VWR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,563500.000421843,7082499.999754384,32606,COPERNICUS/S2_HARMONIZED/20230720T211521_20230720T211515_T06VWR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DEJU_5
2023_DSNY_7,20230418T155821_20230418T160614_T17RMM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,458000.00029004575,3107000.000640661,32617,COPERNICUS/S2_HARMONIZED/20230418T155821_20230418T160614_T17RMM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DSNY_7
2023_HEAL_5,20230812T212531_20230812T212612_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230812T212531_20230812T212612_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230812T212531_20230812T212612_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,391177.0764605725,7089796.021674417,32606,COPERNICUS/S2_HARMONIZED/20230812T212531_20230812T212612_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230812T212531_20230812T212612_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230812T212531_20230812T212612_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230813T214539_20230813T214533_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230813T214539_20230813T214533_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230813T214539_20230813T214533_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,391177.0452104542,7089795.876141967,32606,COPERNICUS/S2_HARMONIZED/20230813T214539_20230813T214533_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_HEAL_5,20230813T214539_20230813T214533_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,390999.9996584498,7085499.998858432,32606,COPERNICUS/S2_HARMONIZED/20230813T214539_20230813T214533_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5
2023_JERC_7,20230501T160821_20230501T161942_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,740999.9989320706,3459000.0008556284,32616,COPERNICUS/S2_HARMONIZED/20230501T160821_20230501T161942_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_JERC_7
2023_MLBS_6,20230602T155819_20230602T160940_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,541500.0004147047,4137500.000195911,32617,COPERNICUS/S2_HARMONIZED/20230602T155819_20230602T160940_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MLBS_6
2023_OAES_7,20230507T171859_20230507T172536_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20230507T171859_20230507T172536_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OAES_7
2023_ONAQ_5,20230425T181919_20230425T182746_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,372999.9995777239,4450500.000806483,32612,COPERNICUS/S2_HARMONIZED/20230425T181919_20230425T182746_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ONAQ_5
2023_OSBS_7,20230423T155819_20230423T160343_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,401894.47036367713,3284500.044601837,32617,COPERNICUS/S2_HARMONIZED/20230423T155819_20230423T160343_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7
