neon_id,s2_id,longitude,latitude,time,cs_cdf,base_date,days_diff,utm_x,utm_y,crs,tile_id,abs_days_diff,id,sentinel2_id
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_BART_6,20220830T153809_20220830T154654_T19TCJ,-71.22131033390484,44.03900848867542,2022-08-30,0.9019607843137256,2022-08-19,11,320475.37313091767,4879088.591556116,EPSG:32619,NA5120_E2018N0849,11,NEON_S2__0380,COPERNICUS/S2_SR_HARMONIZED/20220830T153809_20220830T154654_T19TCJ
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_BLAN_5,20220518T155819_20220518T160526_T17SQD,-78.02838423084893,39.11767803615504,2022-05-18,0.9019607843137256,2022-05-21,-3,756263.1653956482,4332487.989448091,EPSG:32617,NA5120_E1942N0712,3,NEON_S2__0381,COPERNICUS/S2_SR_HARMONIZED/20220518T155819_20220518T160526_T17SQD
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_CLBJ_6,20220514T170851_20220514T171813_T14SPB,-97.66771229838356,33.368460217790094,2022-05-14,0.9058823529411764,2022-05-06,8,625944.0521368855,3693233.480103688,EPSG:32614,NA5120_E1611N0546,8,NEON_S2__0385,COPERNICUS/S2_SR_HARMONIZED/20220514T170851_20220514T171813_T14SPB
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,20220923T161001_20220923T161444_T17SKV,-83.59362707902619,35.62215360258915,2022-09-23,0.9098039215686274,2022-09-23,0,265621.5671535979,3945859.926418435,EPSG:32617,NA5120_E1862N0617,0,NEON_S2__0395,COPERNICUS/S2_SR_HARMONIZED/20220923T161001_20220923T161444_T17SKV
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GUAN_2,20221103T150719_20221103T150717_T19QGV,-66.85190479194749,18.006550207118984,2022-11-03,0.9058823529411764,2022-10-21,13,725427.0628418749,1990403.4290000405,EPSG:32619,NA5120_E2274N0333,13,NEON_S2__0443,COPERNICUS/S2_SR_HARMONIZED/20221103T150719_20221103T150717_T19QGV
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_JORN_5,20220903T174921_20220903T175451_T13SCS,-106.82046706522054,32.678554079586306,2022-09-03,0.9019607843137256,2022-09-04,-1,329091.43711336795,3616242.259540613,EPSG:32613,NA5120_E1440N0541,1,NEON_S2__0444,COPERNICUS/S2_SR_HARMONIZED/20220903T174921_20220903T175451_T13SCS
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_KONZ_7,20220613T170901_20220613T172041_T14SQJ,-96.6098562198044,39.07168429360812,2022-06-13,0.9098039215686274,2022-06-13,0,707367.584365901,4329335.463781447,EPSG:32614,NA5120_E1629N0670,0,NEON_S2__0446,COPERNICUS/S2_SR_HARMONIZED/20220613T170901_20220613T172041_T14SQJ
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_LAJA_2,20221103T150719_20221103T150717_T19QGA,-67.03587976213517,18.052543949665903,2022-11-03,0.9058823529411764,2022-11-02,1,706990.4676127895,1997302.268943492,EPSG:32619,NA5120_E2270N0333,1,NEON_S2__0459,COPERNICUS/S2_SR_HARMONIZED/20221103T150719_20221103T150717_T19QGA
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MCDI_3,20220613T170901_20220613T172041_T14SQJ,-96.47187499216363,38.93370306596736,2022-06-13,0.9137254901960784,2022-06-14,-1,717759.3250565998,4314122.804297642,EPSG:32614,NA5120_E1631N0667,1,NEON_S2__0466,COPERNICUS/S2_SR_HARMONIZED/20220613T170901_20220613T172041_T14SQJ
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MLBS_5,20220923T161001_20220923T161444_T17SNB,-80.55804007092951,37.415909561919015,2022-09-23,0.9137254901960784,2022-09-21,2,541130.4166826316,4141465.1483827857,EPSG:32617,NA5120_E1908N0666,2,NEON_S2__0471,COPERNICUS/S2_SR_HARMONIZED/20220923T161001_20220923T161444_T17SNB
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MOAB_6,20220429T175921_20220429T180752_T12SXH,-109.39611664784805,38.24379692776356,2022-04-29,0.9058823529411764,2022-04-30,-1,640133.7672718331,4232284.211199537,EPSG:32612,NA5120_E1409N0667,1,NEON_S2__0476,COPERNICUS/S2_SR_HARMONIZED/20220429T175921_20220429T180752_T12SXH
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_OAES_6,20220507T171901_20220507T172600_T14SME,-99.09351831733808,35.392184889854555,2022-05-07,0.9019607843137256,2022-05-09,-2,491357.0940160986,3916132.4304857138,EPSG:32614,NA5120_E1585N0590,2,NEON_S2__0483,COPERNICUS/S2_SR_HARMONIZED/20220507T171901_20220507T172600_T14SME
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ONAQ_4,20220430T181909_20220430T182723_T12TUK,-112.47769739849164,40.17553411473418,2022-04-30,0.9019607843137256,2022-05-05,-5,372761.8953783614,4448401.6358216,EPSG:32612,NA5120_E1364N0718,5,NEON_S2__0485,COPERNICUS/S2_SR_HARMONIZED/20220430T181909_20220430T182723_T12TUK
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_PRIN_5,20220509T170849_20220509T171847_T14SPC,-97.80569352602431,33.368460217790094,2022-05-09,0.9019607843137256,2022-05-06,3,610857.4334480397,3693005.202016,EPSG:32614,NA5120_E1608N0546,3,NEON_S2__0496,COPERNICUS/S2_SR_HARMONIZED/20220509T170849_20220509T171847_T14SPC
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_RMNP_4,20220725T174921_20220725T180015_T13TDE,-105.48664853135988,40.17553411473418,2022-07-25,0.9058823529411764,2022-07-25,0,458148.7607800604,4445075.759657461,EPSG:32613,NA5120_E1480N0700,0,NEON_S2__0501,COPERNICUS/S2_SR_HARMONIZED/20220725T174921_20220725T180015_T13TDE
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SERC_6,20220530T154821_20220530T155101_T18SUJ,-76.60257821189442,38.88770932342044,2022-05-30,0.9098039215686274,2022-05-29,1,362128.4205379884,4306260.971004153,EPSG:32618,NA5120_E1967N0714,1,NEON_S2__0502,COPERNICUS/S2_SR_HARMONIZED/20220530T154821_20220530T155101_T18SUJ
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SRER_5,20220906T175921_20220906T181138_T12SWA,-110.82192266680254,31.75867922864792,2022-09-06,0.9019607843137256,2022-08-29,8,516559.7503898245,3513644.8245201884,EPSG:32612,NA5120_E1363N0532,8,NEON_S2__0506,COPERNICUS/S2_SR_HARMONIZED/20220906T175921_20220906T181138_T12SWA
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STEI_5,20220622T164849_20220622T165013_T15TYL,-89.57281361012572,45.46481450762992,2022-06-22,0.9098039215686274,2022-06-09,13,299952.41514574323,5039399.338171457,EPSG:32616,NA5120_E1735N0815,13,NEON_S2__0507,COPERNICUS/S2_SR_HARMONIZED/20220622T164849_20220622T165013_T15TYL
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STER_4,20220717T173909_20220717T174744_T13TFE,-103.04898017637314,40.49749031256262,2022-07-17,0.9019607843137256,2022-07-17,0,663781.3570500092,4485633.362922423,EPSG:32613,NA5120_E1521N0704,0,NEON_S2__0518,COPERNICUS/S2_SR_HARMONIZED/20220717T173909_20220717T174744_T13TFE
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_TOOL_4,20220803T214541_20220803T214540_T05WPS,-149.54865389130876,68.59966700873044,2022-08-03,0.9137254901960784,2022-08-03,0,395947.4139309033,7611765.459610993,EPSG:32606,NA5120_E1238N1467,0,NEON_S2__0526,COPERNICUS/S2_SR_HARMONIZED/20220803T214541_20220803T214540_T05WPS
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UKFS_6,20220603T170901_20220603T171607_T15SUD,-95.18405020084992,39.0256905510612,2022-06-03,0.9137254901960784,2022-06-09,-6,309868.89090271934,4321232.505179466,EPSG:32615,NA5120_E1653N0669,6,NEON_S2__0541,COPERNICUS/S2_SR_HARMONIZED/20220603T170901_20220603T171607_T15SUD
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,20220620T165901_20220620T171040_T15TYM,-89.52681986757881,46.20071438838064,2022-06-20,0.9019607843137256,2022-06-20,0,305908.96032829466,5121157.336384269,EPSG:32616,NA5120_E1734N0831,0,NEON_S2__0553,COPERNICUS/S2_SR_HARMONIZED/20220620T165901_20220620T171040_T15TYM
