tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E2015N0812,EPSG:32618,-72.16409384363574,42.50447224037963,733007.2672856918,4709687.433611651,10319360.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16,0.0
NA5120_E2015N0813,EPSG:32618,-72.14468515234222,42.547437513389426,734441.210608064,4714512.3366984045,10319360.0,4165120.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16,8.207282913165265
NA5120_E2016N0810,EPSG:32618,-72.14416080254163,42.40344611382162,735022.9205047544,4698523.48282171,10324480.0,4149760.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16,44.27394146064223
NA5120_E2016N0811,EPSG:32618,-72.12478961306003,42.44640959802109,736455.5496415723,4703348.385583875,10324480.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16,27.118171683389075
NA5120_E2016N0812,EPSG:32618,-72.10538195716808,42.489366995275816,737888.8846081116,4708173.120706622,10324480.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16,47.65886287625418
NA5120_E1860N0518,EPSG:32616,-84.51224758072561,31.155805696698273,737143.7866837252,3449533.94532818,9525760.0,2654720.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,50.41542040545032
NA5120_E1860N0519,EPSG:32616,-84.50469582267925,31.201227422216203,737750.243509446,3454586.3951119063,9525760.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,6.923076923076923
NA5120_E1860N0520,EPSG:32616,-84.49713131854219,31.246647682934473,738357.0810065159,3459638.8151043216,9525760.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,0.0
NA5120_E1860N0521,EPSG:32616,-84.48955404059728,31.292066475939787,738964.2988275888,3464691.205381583,9525760.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,0.0
NA5120_E1860N0522,EPSG:32616,-84.48196396104193,31.33748379831168,739571.8966250423,3469743.56602004,9525760.0,2675200.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,61.86274509803922
