bands_neon,wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
156,1158.6051,,,,,,,,,,,,,
157,1163.6138,,,,,,,,,,,,,
158,1168.6224,,,,,,,,,,,,,
159,1173.6312,,,,,,,,,,,,,
160,1178.6398,,,,,,,,,,,,,
161,1183.6484,,,,,,,,,,,,,
162,1188.6571,,,,,,,,,,,,,
163,1193.6658,,,,,,,,,,,,,
164,1198.6746,,,,,,,,,,,,,
165,1203.6833,,,,,,,,,,,,,
166,1208.692,,,,,,,,,,,,,
167,1213.7006,,,,,,,,,,,,,
168,1218.7092,,,,,,,,,,,,,
169,1223.718,,,,,,,,,,,,,
170,1228.7267,,,,,,,,,,,,,
171,1233.7355,,,,,,,,,,,,,
172,1238.7441,,,,,,,,,,,,,
173,1243.7528,,,,,,,,,,,,,
174,1248.7616,,,,,,,,,,,,,
175,1253.7703,,,,,,,,,,,,,
176,1258.7789,,,,,,,,,,,,,
177,1263.7875,,,,,,,,,,,,,
178,1268.7963,,,,,,,,,,,,,
179,1273.8049,,,,,,,,,,,,,
180,1278.8136,,,,,,,,,,,,,
181,1283.8223,,,,,,,,,,,,,
182,1288.831,,,,,,,,,,,,,
183,1293.8397,,,,,,,,,,,,,
184,1298.8485,,,,,,,,,,,,,
185,1303.857,,,,,,,,,,,,,
186,1308.8656,,,,,,,,,,,,,
187,1313.8743,,,,,,,,,,,,,
188,1318.8829,,,,,,,,,,,,,
189,1323.8917,,,,,,,,,,,,,
190,1328.9004,,,,,,,,,,,,,
191,1333.909,,,,,,,,,,,,,
192,1338.9178,,,,,,,,,,,0.000130642806987342,,
193,1343.9265,,,,,,,,,,,0.000300567271403317,,
194,1348.9352,,,,,,,,,,,0.00103990561539009,,
195,1353.9437,,,,,,,,,,,0.0104422426125974,,
196,1358.9528,,,,,,,,,,,0.0813536384766158,,
197,1363.9613,,,,,,,,,,,0.159764604745608,,
198,1368.97,,,,,,,,,,,0.171256848375267,,
199,1373.9788,,,,,,,,,,,0.172121407950111,,
200,1378.9873,,,,,,,,,,,0.170460609171321,,
201,1383.9961,,,,,,,,,,,0.154080598419469,,
202,1389.0048,,,,,,,,,,,0.0729583662871734,,
203,1394.0135,,,,,,,,,,,0.00583864139331613,,
204,1399.0221,,,,,,,,,,,0.00016038405394147,,
205,1404.0309,,,,,,,,,,,9.15428207990689E-05,,
206,1409.0394,,,,,,,,,,,,,
207,1414.0481,,,,,,,,,,,,,
208,1419.0569,,,,,,,,,,,,,
209,1424.0656,,,,,,,,,,,,,
210,1429.0742,,,,,,,,,,,,,
211,1434.083,,,,,,,,,,,,,
212,1439.0917,,,,,,,,,,,,,
213,1444.1003,,,,,,,,,,,,,
214,1449.1088,,,,,,,,,,,,,
215,1454.1174,,,,,,,,,,,,,
216,1459.1263,,,,,,,,,,,,,
217,1464.135,,,,,,,,,,,,,
218,1469.1436,,,,,,,,,,,,,
219,1474.1522,,,,,,,,,,,,,
220,1479.161,,,,,,,,,,,,,
221,1484.1697,,,,,,,,,,,,,
222,1489.1785,,,,,,,,,,,,,
223,1494.1871,,,,,,,,,,,,,
224,1499.1959,,,,,,,,,,,,,
225,1504.2045,,,,,,,,,,,,,
226,1509.2135,,,,,,,,,,,,,
227,1514.2219,,,,,,,,,,,,,
228,1519.2306,,,,,,,,,,,,,
229,1524.2394,,,,,,,,,,,,,
230,1529.2479,,,,,,,,,,,,,
231,1534.2566,,,,,,,,,,,,,
232,1539.2654,,,,,,,,,,,,2.70371537511921E-05,
233,1544.2742,,,,,,,,,,,,7.28874439302288E-05,
234,1549.2828,,,,,,,,,,,,0.000190459856939064,
235,1554.2914,,,,,,,,,,,,0.000738150561670271,
236,1559.3,,,,,,,,,,,,0.00454293261693056,
237,1564.3088,,,,,,,,,,,,0.0241765239778865,
238,1569.3175,,,,,,,,,,,,0.0488322544893528,
239,1574.326,,,,,,,,,,,,0.0537946241621363,
240,1579.3348,,,,,,,,,,,,0.0560808041814996,
241,1584.3436,,,,,,,,,,,,0.056598054120001,
242,1589.3522,,,,,,,,,,,,0.0572050210717745,
243,1594.361,,,,,,,,,,,,0.0570047813462828,
244,1599.3695,,,,,,,,,,,,0.0567021006255429,
245,1604.3783,,,,,,,,,,,,0.0569619773279149,
246,1609.387,,,,,,,,,,,,0.0566030653482849,
247,1614.3956,,,,,,,,,,,,0.0555521118828949,
248,1619.4043,,,,,,,,,,,,0.0554027065101431,
249,1624.413,,,,,,,,,,,,0.0563368093941567,
250,1629.4215,,,,,,,,,,,,0.056251853779755,
251,1634.4303,,,,,,,,,,,,0.0559242015587595,
252,1639.4388,,,,,,,,,,,,0.0560651635526007,
253,1644.4475,,,,,,,,,,,,0.0553681134351124,
254,1649.4563,,,,,,,,,,,,0.0487314303134625,
255,1654.465,,,,,,,,,,,,0.0250258309277189,
256,1659.4736,,,,,,,,,,,,0.0050072328891166,
257,1664.4824,,,,,,,,,,,,0.000597857633031877,
258,1669.4911,,,,,,,,,,,,0.000140167915278735,
259,1674.5,,,,,,,,,,,,6.58459240719585E-05,
260,1679.5085,,,,,,,,,,,,,
261,1684.5175,,,,,,,,,,,,,
262,1689.526,,,,,,,,,,,,,
263,1694.5345,,,,,,,,,,,,,
264,1699.5432,,,,,,,,,,,,,
265,1704.5518,,,,,,,,,,,,,
266,1709.5605,,,,,,,,,,,,,
267,1714.5692,,,,,,,,,,,,,
268,1719.578,,,,,,,,,,,,,
269,1724.5868,,,,,,,,,,,,,
270,1729.5955,,,,,,,,,,,,,
271,1734.6042,,,,,,,,,,,,,
272,1739.613,,,,,,,,,,,,,
273,1744.6215,,,,,,,,,,,,,
274,1749.6302,,,,,,,,,,,,,
275,1754.6388,,,,,,,,,,,,,
276,1759.6476,,,,,,,,,,,,,
277,1764.6562,,,,,,,,,,,,,
278,1769.665,,,,,,,,,,,,,
279,1774.6738,,,,,,,,,,,,,
280,1779.6824,,,,,,,,,,,,,
281,1784.691,,,,,,,,,,,,,
282,1789.6996,,,,,,,,,,,,,
283,1794.7083,,,,,,,,,,,,,
284,1799.717,,,,,,,,,,,,,
285,1804.7256,,,,,,,,,,,,,
286,1809.7343,,,,,,,,,,,,,
287,1814.7432,,,,,,,,,,,,,
288,1819.752,,,,,,,,,,,,,
289,1824.7604,,,,,,,,,,,,,
290,1829.7692,,,,,,,,,,,,,
291,1834.778,,,,,,,,,,,,,
292,1839.7864,,,,,,,,,,,,,
293,1844.7952,,,,,,,,,,,,,
294,1849.8038,,,,,,,,,,,,,
295,1854.8124,,,,,,,,,,,,,
296,1859.8214,,,,,,,,,,,,,
297,1864.83,,,,,,,,,,,,,
298,1869.8387,,,,,,,,,,,,,
299,1874.8474,,,,,,,,,,,,,
300,1879.8562,,,,,,,,,,,,,
301,1884.8646,,,,,,,,,,,,,
302,1889.8734,,,,,,,,,,,,,
303,1894.882,,,,,,,,,,,,,
304,1899.8907,,,,,,,,,,,,,
305,1904.8997,,,,,,,,,,,,,
306,1909.9082,,,,,,,,,,,,,
307,1914.9167,,,,,,,,,,,,,
308,1919.9257,,,,,,,,,,,,,
309,1924.9344,,,,,,,,,,,,,
310,1929.9427,,,,,,,,,,,,,
311,1934.9517,,,,,,,,,,,,,
312,1939.9604,,,,,,,,,,,,,
313,1944.9688,,,,,,,,,,,,,
314,1949.9775,,,,,,,,,,,,,
315,1954.9865,,,,,,,,,,,,,
316,1959.995,,,,,,,,,,,,,
317,1965.0035,,,,,,,,,,,,,
318,1970.0125,,,,,,,,,,,,,
319,1975.0208,,,,,,,,,,,,,
320,1980.0295,,,,,,,,,,,,,
321,1985.0385,,,,,,,,,,,,,
322,1990.047,,,,,,,,,,,,,
323,1995.0558,,,,,,,,,,,,,
324,2000.0645,,,,,,,,,,,,,
325,2005.0732,,,,,,,,,,,,,
326,2010.082,,,,,,,,,,,,,
327,2015.0906,,,,,,,,,,,,,
328,2020.0992,,,,,,,,,,,,,
329,2025.1078,,,,,,,,,,,,,
330,2030.1165,,,,,,,,,,,,,
331,2035.1252,,,,,,,,,,,,,
332,2040.134,,,,,,,,,,,,,
333,2045.1428,,,,,,,,,,,,,
334,2050.1516,,,,,,,,,,,,,
335,2055.16,,,,,,,,,,,,,
336,2060.1687,,,,,,,,,,,,,
337,2065.1772,,,,,,,,,,,,,6.46967234827051E-05
338,2070.186,,,,,,,,,,,,,0.000103886713787646
339,2075.1948,,,,,,,,,,,,,0.000138566390601209
340,2080.2034,,,,,,,,,,,,,0.000175111209977536
341,2085.2122,,,,,,,,,,,,,0.000334358400668532
