Wavelength,Value_sd
WL_FWHM_B053,0.9744986926447187
WL_FWHM_B054,0.9738833411520366
WL_FWHM_B055,0.9732709724343753
WL_FWHM_B056,0.9726571909071369
WL_FWHM_B057,0.9720393982125045
WL_FWHM_B058,0.9714276617292115
WL_FWHM_B059,0.970821397331781
WL_FWHM_B060,0.9701823105754688
WL_FWHM_B061,0.9695868921041273
WL_FWHM_B062,0.9689554676268849
WL_FWHM_B063,0.9683723789166239
WL_FWHM_B064,0.9677255682810018
WL_FWHM_B065,0.967114672816703
WL_FWHM_B066,0.966489208215415
WL_FWHM_B067,0.9658823547518735
WL_FWHM_B068,0.9652848427545516
WL_FWHM_B069,0.9646480273304915
WL_FWHM_B070,0.9640525876933955
WL_FWHM_B071,0.9634266777523207
WL_FWHM_B072,0.9628141496632431
WL_FWHM_B073,0.9622440158223987
WL_FWHM_B074,0.9616436964663604
WL_FWHM_B075,0.9609941220982209
WL_FWHM_B076,0.960393907861062
WL_FWHM_B077,0.9598135986132845
WL_FWHM_B078,0.9591965864626119
WL_FWHM_B079,0.9585916890923011
WL_FWHM_B080,0.9579675688669165
WL_FWHM_B081,0.9573883084737584
WL_FWHM_B082,0.956768311950789
WL_FWHM_B083,0.956161352084053
WL_FWHM_B084,0.9555705267769103
WL_FWHM_B085,0.9549630950040152
WL_FWHM_B086,0.9543379254958193
WL_FWHM_B087,0.9537392526720375
WL_FWHM_B088,0.9531763242103248
WL_FWHM_B089,0.9525670077393898
WL_FWHM_B090,0.9519569453508588
WL_FWHM_B091,0.9513786149988145
WL_FWHM_B092,0.9507581009916103
WL_FWHM_B093,0.9501627259451192
WL_FWHM_B094,0.9495560364707543
WL_FWHM_B095,0.9489693433051016
WL_FWHM_B096,0.948377816348065
WL_FWHM_B097,0.9477781467917932
WL_FWHM_B098,0.9471802073241692
WL_FWHM_B099,0.9465809237815649
WL_FWHM_B100,0.9459830459540781
WL_FWHM_B101,0.9454018888166862
WL_FWHM_B102,0.9448178131254373
WL_FWHM_B103,0.9442153843195767
WL_FWHM_B104,0.9436284015329924
WL_FWHM_B105,0.9430411714351808
WL_FWHM_B106,0.9424404193881782
WL_FWHM_B107,0.9418651214327106
WL_FWHM_B108,0.9412620627914524
WL_FWHM_B109,0.9406845255854925
WL_FWHM_B110,0.9400802200663049
WL_FWHM_B111,0.9394934740740133
WL_FWHM_B112,0.9388930273603583
WL_FWHM_B113,0.9383226553594934
WL_FWHM_B114,0.9377393315715078
WL_FWHM_B115,0.9371478437918691
WL_FWHM_B116,0.936571259747732
WL_FWHM_B117,0.9359742575455566
WL_FWHM_B118,0.9354156684852463
WL_FWHM_B119,0.9348136926426903
WL_FWHM_B120,0.934257008498149
WL_FWHM_B121,0.9336544601700212
WL_FWHM_B122,0.9330644276800887
WL_FWHM_B123,0.9325020546939514
WL_FWHM_B124,0.9319162103126362
WL_FWHM_B125,0.9313422201005366
WL_FWHM_B126,0.9307472448011077
WL_FWHM_B127,0.9301791688818999
WL_FWHM_B128,0.9295816247021483
WL_FWHM_B129,0.9290255589593206
WL_FWHM_B130,0.928447176906291
WL_FWHM_B131,0.9278813704769774
WL_FWHM_B132,0.9272947021112373
WL_FWHM_B133,0.9267157032882818
WL_FWHM_B134,0.9261513619395015
WL_FWHM_B135,0.9255931052097913
WL_FWHM_B136,0.9250202071500053
WL_FWHM_B137,0.9244306009815895
WL_FWHM_B138,0.9238888244097392
WL_FWHM_B139,0.9232740661549059
WL_FWHM_B140,0.922734344950094
WL_FWHM_B141,0.922146001142968
WL_FWHM_B142,0.9215448957693301
WL_FWHM_B143,0.9210055740996216
WL_FWHM_B144,0.9204454936319375
WL_FWHM_B145,0.9198803855195178
WL_FWHM_B146,0.9192914861388918
WL_FWHM_B147,0.9187371975359245
WL_FWHM_B148,0.9181751841564179
WL_FWHM_B149,0.9175907534989804
WL_FWHM_B150,0.9170389665203256
WL_FWHM_B151,0.9164799093154409
WL_FWHM_B152,0.9158881487121848
WL_FWHM_B153,0.9153657630579994
WL_FWHM_B154,0.9147898510725444
WL_FWHM_B155,0.9142459751811511
WL_FWHM_B156,0.9136565809640159
WL_FWHM_B157,0.9130883070971091
WL_FWHM_B158,0.9125581360286686
WL_FWHM_B159,0.911987990526001
WL_FWHM_B160,0.9114376461769483
